Code,Part no,Partcode,Desc,Plan-IT FC,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,Total Qty,Sales Trend,L12 M sales,L6 M Sales,L3 M Sales,Max,Trend,Monthly FC  L6 M,FC Variance,% Variance,Trend
VO,948211,VO948211,Cable Tie,8101.0,5718,7113,7887,8433,7744,10712,13242,8050,11582,8978,9590,13551,5973,," 9,383 "," 10,832 "," 10,706 "," 10,832 ", 1.10 ," 10,832.00 "," 2,731.00 ", 25.2% ▲, Moderate Trend
HY,1770560,HY1770560,CIRCLIP GE 50 DO,,,,,,,,,,,,1,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,1794010,HY1794010,BEARING BUSH RS20 6070-50,,,,,,2,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,8102117,HY8102117,BREATHER FILTER,,16,25,33,20,12,24,28,16,39,8,5,9,235,, 20 , 18 , 7 , 20 , 0.40 , 18.00 , 18.00 , 100.0% ▲, Downward Trend
HY,14844010,HY14844010,SEAL KIT FOR PT.VALVE,,,2,,,4,,,,,,,,6,, 1 , -   , -   , 1 , -   , -   , -   , ►, Downward Trend
HY,14896990,HY14896990,RLF (14780305) element 25mu,,14,6,18,7,4,21,5,27,19,,,,121,, 10 , 9 , -   , 10 , -   , 9.00 , 9.00 , 100.0% ▲, Downward Trend
HY,57100AU000,HY57100AU000,TIPPER TILT SWITCH,,,,,,,,,,,,1,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,5710400010,HY5710400010,CYLINDER EYE SPACER,,,2,,2,,,,,,,4,,8,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
HY,571B300009,HY571B300009,CYLINDER MOUNTING PIN,,,,,,,,,,,,1,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,572DA27020,HY572DA27020,LEAF SPRING PAD PLATE KIT,,,,,,,50,,,,,,,50,, 4 , -   , -   , 4 , -   , -   , -   , ►, Downward Trend
HY,5731030071,HY5731030071,"Washer ( M14 X 5 "" THICK)",,,90,360,126,74,,,,,,,,650,, 54 , -   , -   , 54 , -   , -   , -   , ►, Downward Trend
HY,5731050008,HY5731050008,"DOWTY SEAL 1""",,,,,,,,1,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,5731250065,HY5731250065,TILT SWITCH GYRO WITH FEEDBACK,,1,,,1,,,,,,,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,5731250099,HY5731250099,PRESSURE SWITCH 0-10 BAR IP67,,1,,,,,1,2,,,,,2,6,, 1 , 1 , 1 , 1 , 1.00 , 1.00 , 1.00 , 100.0% ▲, Moderate Trend
HY,5732232120,HY5732232120,"ADAPTOR 1*1/4"" BSP MX 1""BSP M",,1,,,,,,,,,,,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,5733200007,HY5733200007,GASKET GBSIDE PTO-GBS50,,,,,,,,,,,,1,,1,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,5733300113,HY5733300113,"HOSE 1"" ID X 2500LG 1"" BSP ORT 90",,1,,,,1,,,,,,1,,3,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
HY,5733300212,HY5733300212,HYDRAULIC HOSE,,,,,,,,,,,,2,1,3,, -   , 1 , 1 , 1 , -   , 1.00 , 1.00 , 100.0% ▲, Downward Trend
HY,5739980092,HY5739980092,ACV -14750700 WITH MTG FASTNER,,,,,1,,,,,,1,,,2,, -   , -   , -   , -   , -   , -   , -   , ►, Downward Trend
